column0,column1
de,of
pas,not
vous,you
tu,you
et,and
a,has
ne,not
les,them
ce,this
en,in
on,we
ce,that
une,a
pour,to
des,of the
moi,me
qui,who
nous,we
y,Y
me,me
dans,in
du,from
bien,Well
tout,everything
plus,more
mon,my
te,you
au,to
avec,with
va,goes
fait,do
ils,they
as,AS
être,to be
faire,To do
se,se
était,was
sur,on
ici,here
lui,him
veux,want
le,the
rien,nothing
dit,said
pourquoi,for what
cette,this
quand,when
par,by
son,his
ton,your
peux,can
vais,go
dire,say
alors,then
très,very
ont,have
jamais,never
aussi,Also
voir,see
chose,thing
allez,go
tous,all
deux,of them
ces,these
faut,should
sa,her
sont,are
ta,your
fais,do
peut,can
autre,other
encore,again
maintenant,now
peu,little
mes,my
vraiment,really
temps,time
notre,our
vie,life
juste,just
oh,Oh
avait,had
accord,deal
vu,seen
monde,world
quelque,some
fois,time
aller,go
viens,come
crois,believe
dieu,god
dois,must
homme,male
aux,to the
leur,their
avant,before
est,is
besoin,need
femme,women
personne,person
avais,had
ans,year
mal,wrong
ses,his
parler,to speak
vos,your
après,after
mort,dead
eu,eu
sera,will be
mieux,better
donc,so
tes,your
ca,that
dis,say
beaucoup,many
doit,must
vois,see
mère,mother
monsieur,sir
fille,daughter
jour,day
soir,evening
autres,others
ii,II
toute,all
ll,ll
maison,home
nom,name
argent,money
ouais,yeah
merde,shit
papa,dad
salut,Hi
cet,this
Désolé,sorry
peur,fear
arrive,arrived
vite,quickly
prendre,take
None
None
,hi
